Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.065,0.5381,0.3633,0.0335,0.0001
Low,Low,Yes,0.0486,0.4874,0.4126,0.0512,0.0003
Low,Medium,No,0.0207,0.3311,0.5052,0.14,0.003
Low,Medium,Yes,0.0158,0.2847,0.513,0.1808,0.0057
Low,High,No,0.0041,0.0923,0.3388,0.4353,0.1295
Low,High,Yes,0.0038,0.08,0.3035,0.4415,0.1712
Medium,Low,No,0.065,0.5381,0.3633,0.0335,0.0001
Medium,Low,Yes,0.0486,0.4874,0.4126,0.0512,0.0003
Medium,Medium,No,0.0207,0.3311,0.5052,0.14,0.003
Medium,Medium,Yes,0.0158,0.2847,0.513,0.1808,0.0057
Medium,High,No,0.0041,0.0923,0.3388,0.4353,0.1295
Medium,High,Yes,0.0038,0.08,0.3035,0.4415,0.1712
High,Low,No,0.0363,0.4341,0.4542,0.0748,0.0007
High,Low,Yes,0.0273,0.3812,0.4856,0.1045,0.0015
High,Medium,No,0.0123,0.243,0.5093,0.2251,0.0103
High,Medium,Yes,0.0097,0.2066,0.4953,0.2707,0.0177
High,High,No,0.0036,0.0701,0.2697,0.4372,0.2193
High,High,Yes,0.0036,0.0623,0.2384,0.4231,0.2726
