Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%,
0-20%,Minor,0.9594,0.0402,0.0004,0,0,1
0-20%,Significant,0.8821,0.1065,0.0114,0,0,1
21-40%,Minor,0.2964,0.6608,0.0427,0.0001,0,1
21-40%,Significant,0.0894,0.7152,0.193,0.0024,0,1
41-60%,Minor,0.11,0.3233,0.5295,0.0372,0,1
41-60%,Significant,0.002,0.292,0.644,0.062,0,1
61-80%,Minor,0.0002,0.1248,0.39,0.485,0,1
61-80%,Significant,0.0001,0.0118,0.3381,0.576,0.074,1
81-100%,Minor,0.001,0.0063,0.1513,0.3253,0.5161,1
81-100%,Significant,0.0005,0.0061,0.1278,0.1952,0.6704,1
