Suspended sediment,Sediment deposition,Toxin release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.5904,0.28,0.104,0.024,0.0016
Low,Low,Yes,0.5721,0.2882,0.1111,0.0267,0.0019
Low,Medium,No,0.5016,0.3153,0.1402,0.0394,0.0035
Low,Medium,Yes,0.4845,0.3207,0.1476,0.0432,0.004
Low,High,No,0.4198,0.3361,0.177,0.0602,0.0069
Low,High,Yes,0.4047,0.3386,0.184,0.0649,0.0078
Medium,Low,No,0.5016,0.3153,0.1402,0.0394,0.0035
Medium,Low,Yes,0.4845,0.3207,0.1476,0.0432,0.004
Medium,Medium,No,0.4198,0.3361,0.177,0.0602,0.0069
Medium,Medium,Yes,0.4047,0.3386,0.184,0.0649,0.0078
Medium,High,No,0.3474,0.3429,0.2111,0.0859,0.0127
Medium,High,Yes,0.334,0.3427,0.2174,0.0916,0.0143
High,Low,No,0.3474,0.3429,0.2111,0.0859,0.0127
High,Low,Yes,0.334,0.3427,0.2174,0.0916,0.0143
High,Medium,No,0.2849,0.3373,0.2401,0.1156,0.0221
High,Medium,Yes,0.2735,0.3349,0.245,0.1221,0.0245
High,High,No,0.2319,0.3218,0.2619,0.1483,0.0361
High,High,Yes,0.2225,0.3178,0.2652,0.1549,0.0396
