Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.4366,0.4072,0.1369,0.0189,0.0004
Low,Low,Yes,0.3079,0.4551,0.2017,0.0344,0.0009
Low,Medium,No,0.2001,0.4632,0.2753,0.0593,0.0021
Low,Medium,Yes,0.1193,0.4307,0.3489,0.0968,0.0043
Low,High,No,0.0017,0.0716,0.3475,0.4676,0.1116
Low,High,Yes,0.0005,0.0357,0.2613,0.5156,0.1869
Medium,Low,No,0.3079,0.4551,0.2016,0.0345,0.0009
Medium,Low,Yes,0.2001,0.4632,0.2753,0.0593,0.0021
Medium,Medium,No,0.1193,0.4307,0.3489,0.0968,0.0043
Medium,Medium,Yes,0.0645,0.366,0.4107,0.1499,0.0089
Medium,High,No,0.0005,0.0357,0.2613,0.5156,0.1869
Medium,High,Yes,0.0001,0.0155,0.1736,0.5157,0.2951
High,Low,No,0.1193,0.4307,0.3489,0.0968,0.0043
High,Low,Yes,0.0645,0.366,0.4107,0.1499,0.0089
High,Medium,No,0.0313,0.2835,0.448,0.2194,0.0178
High,Medium,Yes,0.0136,0.1995,0.4506,0.3021,0.0342
High,High,No,0,0.0056,0.0995,0.4585,0.4364
High,High,Yes,0,0.0017,0.0479,0.3515,0.5989
