Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9444,0.0556,0,0,0
0-20%,Significant,0.7025,0.2975,0,0,0
21-40%,Minor,0.2336,0.7644,0.002,0,0
21-40%,Significant,0.0642,0.914,0.0218,0,0
41-60%,Minor,0.0006,0.5038,0.4936,0.002,0
41-60%,Significant,0.0001,0.2773,0.7064,0.0162,0
61-80%,Minor,0,0.03,0.6309,0.3379,0.0012
61-80%,Significant,0,0.0138,0.4492,0.5263,0.0107
81-100%,Minor,0.0001,0.0096,0.0998,0.3859,0.5046
81-100%,Significant,0.004,0.0302,0.0925,0.2175,0.6558
