Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.2624,0.3962,0.2508,0.0832,0.0074
Low,Low,Yes,0.1907,0.3803,0.2952,0.12,0.0138
Low,Medium,No,0.134,0.3477,0.33,0.164,0.0243
Low,Medium,Yes,0.0911,0.3039,0.3513,0.213,0.0407
Low,High,No,0.0078,0.081,0.2389,0.3871,0.2852
Low,High,Yes,0.0042,0.0542,0.1909,0.3754,0.3753
Medium,Low,No,0.1605,0.3658,0.3142,0.1411,0.0184
Medium,Low,Yes,0.111,0.3269,0.3425,0.188,0.0316
Medium,Medium,No,0.0742,0.2794,0.356,0.2386,0.0518
Medium,Medium,Yes,0.048,0.229,0.3534,0.2884,0.0812
Medium,High,No,0.003,0.0434,0.167,0.3616,0.425
Medium,High,Yes,0.0015,0.0266,0.1218,0.3196,0.5305
High,Low,No,0.0599,0.2544,0.3567,0.2639,0.0651
High,Low,Yes,0.038,0.2039,0.3461,0.3119,0.1001
High,Medium,No,0.0233,0.1568,0.3207,0.3518,0.1474
High,Medium,Yes,0.0138,0.1154,0.2837,0.3783,0.2088
High,High,No,0.0005,0.011,0.0653,0.2283,0.6949
High,High,Yes,0.0002,0.0054,0.0375,0.1585,0.7984
