Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9417,0.0583,0,0,0
0-20%,Significant,0.6157,0.3843,0,0,0
21-40%,Minor,0.1786,0.8179,0.0035,0,0
21-40%,Significant,0.0311,0.9217,0.0472,0,0
41-60%,Minor,0.0002,0.3687,0.6253,0.0058,0
41-60%,Significant,0,0.1497,0.8019,0.0484,0
61-80%,Minor,0,0.0109,0.4775,0.5062,0.0055
61-80%,Significant,0,0.004,0.2695,0.6822,0.0442
81-100%,Minor,0.0001,0.0051,0.0546,0.2623,0.6779
81-100%,Significant,0.0109,0.0289,0.0536,0.1027,0.8039
