Suspended sediment,Sediment deposition,Toxin release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.8013,0.1351,0.0483,0.0138,0.0016
Low,Low,Yes,0.7792,0.1478,0.0548,0.0162,0.002
Low,Medium,No,0.5783,0.2412,0.1216,0.0496,0.0093
Low,Medium,Yes,0.557,0.2484,0.1293,0.0546,0.0107
Low,High,No,0.0718,0.1451,0.2006,0.254,0.3286
Low,High,Yes,0.0672,0.1388,0.1955,0.253,0.3455
Medium,Low,No,0.6898,0.1946,0.083,0.0284,0.0042
Medium,Low,Yes,0.6672,0.2052,0.0906,0.0321,0.005
Medium,Medium,No,0.474,0.2707,0.1598,0.0771,0.0184
Medium,Medium,Yes,0.4543,0.2745,0.1671,0.0833,0.0208
Medium,High,No,0.0514,0.115,0.1734,0.2442,0.416
Medium,High,Yes,0.0479,0.1094,0.1676,0.2408,0.4342
High,Low,No,0.5783,0.2412,0.1216,0.0496,0.0093
High,Low,Yes,0.557,0.2484,0.1293,0.0546,0.0107
High,Medium,No,0.3805,0.2829,0.1937,0.1097,0.0331
High,Medium,Yes,0.3632,0.2834,0.1997,0.1167,0.0369
High,High,No,0.0359,0.0879,0.1433,0.2225,0.5104
High,High,Yes,0.0333,0.0829,0.137,0.2168,0.53
