Suspended sediment,Sediment deposition,Toxin release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.8494,0.0894,0.0399,0.0171,0.0042
Low,Low,Yes,0.8271,0.1021,0.0461,0.0198,0.0049
Low,Medium,No,0.6134,0.2105,0.1112,0.0519,0.013
Low,Medium,Yes,0.589,0.221,0.1193,0.0565,0.0142
Low,High,No,0.0149,0.0966,0.2274,0.3482,0.3129
Low,High,Yes,0.0126,0.0875,0.2172,0.3487,0.334
Medium,Low,No,0.7349,0.152,0.0729,0.0323,0.0079
Medium,Low,Yes,0.711,0.1642,0.0802,0.0358,0.0088
Medium,Medium,No,0.4908,0.2582,0.1535,0.0772,0.0203
Medium,Medium,Yes,0.4665,0.2659,0.1623,0.0831,0.0222
Medium,High,No,0.0059,0.056,0.1726,0.3377,0.4278
Medium,High,Yes,0.0049,0.0493,0.161,0.3315,0.4533
High,Low,No,0.6134,0.2105,0.1112,0.0519,0.013
High,Low,Yes,0.589,0.221,0.1193,0.0565,0.0142
High,Medium,No,0.3734,0.289,0.1973,0.1092,0.0311
High,Medium,Yes,0.3511,0.2927,0.2059,0.1165,0.0338
High,High,No,0.002,0.0279,0.1144,0.2924,0.5633
High,High,Yes,0.0016,0.0237,0.1032,0.2792,0.5923
