Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.89,0.079,0.0214,0.009,0.0006
Low,Low,Yes,0.7711,0.1634,0.0525,0.0121,0.0009
Low,Medium,No,0.5831,0.2003,0.1082,0.0777,0.0307
Low,Medium,Yes,0.2231,0.4503,0.1882,0.1077,0.0307
Low,High,No,0.0024,0.0312,0.123,0.3019,0.5415
Low,High,Yes,0.0018,0.0257,0.1084,0.2849,0.5792
Medium,Low,No,0.7574,0.1842,0.0393,0.017,0.0021
Medium,Low,Yes,0.566,0.25,0.0831,0.0865,0.0144
Medium,Medium,No,0.189,0.3469,0.2964,0.1229,0.0448
Medium,Medium,Yes,0.0156,0.2042,0.3435,0.2562,0.1805
Medium,High,No,0.0018,0.0257,0.1084,0.2849,0.5792
Medium,High,Yes,0.0013,0.0209,0.0945,0.2659,0.6174
High,Low,No,0.557,0.306,0.0597,0.0574,0.0199
High,Low,Yes,0.2794,0.476,0.1025,0.1189,0.0232
High,Medium,No,0.1502,0.3411,0.315,0.1366,0.0571
High,Medium,Yes,0.0082,0.0706,0.3,0.3534,0.2678
High,High,No,0.0007,0.0133,0.069,0.2233,0.6937
High,High,Yes,0.0005,0.0104,0.0575,0.2001,0.7315
