Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.7345,0.1855,0.0633,0.0154,0.0013
Low,Low,Yes,0.7296,0.1854,0.0642,0.0191,0.0017
Low,Medium,No,0.388,0.2429,0.1817,0.1349,0.0525
Low,Medium,Yes,0.1295,0.2945,0.3275,0.1879,0.0606
Low,High,No,0.0163,0.0797,0.1749,0.2946,0.4346
Low,High,Yes,0.0138,0.0712,0.1626,0.2865,0.4658
Medium,Low,No,0.5585,0.2731,0.1238,0.0399,0.0047
Medium,Low,Yes,0.5241,0.286,0.1372,0.0467,0.006
Medium,Medium,No,0.1081,0.2124,0.398,0.2185,0.063
Medium,Medium,Yes,0.1057,0.1804,0.3474,0.2501,0.1164
Medium,High,No,0.0069,0.0427,0.1142,0.2397,0.5965
Medium,High,Yes,0.0057,0.037,0.1026,0.2248,0.63
High,Low,No,0.4955,0.2199,0.1905,0.0805,0.0136
High,Low,Yes,0.4061,0.2836,0.2032,0.0906,0.0165
High,Medium,No,0.0659,0.1702,0.373,0.2888,0.1021
High,Medium,Yes,0.0581,0.1777,0.2666,0.2958,0.2018
High,High,No,0.0024,0.0187,0.0601,0.1559,0.7629
High,High,Yes,0.0019,0.0152,0.0507,0.1372,0.7949
