Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.8928,0.0735,0.0235,0.0095,0.0007
Low,Low,Yes,0.8019,0.1297,0.0548,0.0126,0.001
Low,Medium,No,0.8306,0.1058,0.0411,0.0156,0.0069
Low,Medium,Yes,0.7001,0.1774,0.0784,0.0354,0.0087
Low,High,No,0.0146,0.1999,0.3378,0.2561,0.1916
Low,High,Yes,0.0115,0.0861,0.2207,0.3557,0.326
Medium,Low,No,0.8696,0.0854,0.0273,0.0164,0.0013
Medium,Low,Yes,0.7965,0.11,0.0709,0.0208,0.0018
Medium,Medium,No,0.791,0.116,0.0558,0.0263,0.0109
Medium,Medium,Yes,0.7037,0.1516,0.0829,0.0483,0.0135
Medium,High,No,0.0789,0.1134,0.3927,0.2523,0.1627
Medium,High,Yes,0.0068,0.062,0.2844,0.3654,0.2814
High,Low,No,0.791,0.106,0.0558,0.0363,0.0109
High,Low,Yes,0.7137,0.1616,0.0629,0.0483,0.0135
High,Medium,No,0.6024,0.2226,0.0949,0.0577,0.0224
High,Medium,Yes,0.5226,0.2082,0.1414,0.0957,0.0321
High,High,No,0.0007,0.0652,0.1129,0.3113,0.5099
High,High,Yes,0.0005,0.0522,0.1095,0.2834,0.5544
