SSC,Sediment deposition,Contaminant release,0-20,20-40,40-60,60-80,80-100,
Low,Low,No,0.8127,0.1362,0.0413,0.0091,0.0007,1
Low,Low,Yes,0.7824,0.1555,0.0497,0.0115,0.0009,1
Low,Medium,No,0.3608,0.3142,0.2054,0.0798,0.0398,1
Low,Medium,Yes,0.2213,0.3089,0.2627,0.1613,0.0458,1
Low,High,No,0.0287,0.1155,0.2171,0.3093,0.3294,1
Low,High,Yes,0.0251,0.106,0.2069,0.3074,0.3546,1
Medium,Low,No,0.655,0.2274,0.0896,0.0254,0.0026,1
Medium,Low,Yes,0.6228,0.2432,0.1007,0.03,0.0033,1
Medium,Medium,No,0.1544,0.278,0.2824,0.2084,0.0768,1
Medium,Medium,Yes,0.1403,0.2684,0.2847,0.22,0.0866,1
Medium,High,No,0.0142,0.0721,0.1635,0.2865,0.4637,1
Medium,High,Yes,0.0122,0.0647,0.1523,0.278,0.4928,1
High,Low,No,0.3552,0.3221,0.2072,0.097,0.0185,1
High,Low,Yes,0.3305,0.3233,0.2184,0.106,0.0218,1
High,Medium,No,0.0535,0.1684,0.26,0.2993,0.2188,1
High,Medium,Yes,0.0475,0.1573,0.2528,0.3036,0.2388,1
High,High,No,0.0024,0.0184,0.0593,0.1544,0.7655,1
High,High,Yes,0.0019,0.0152,0.0508,0.1372,0.7949,1
