Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.3848,0.3493,0.1921,0.0663,0.0075
Low,Low,Yes,0.2764,0.3648,0.2456,0.0998,0.0134
Low,Medium,No,0.1865,0.3526,0.2944,0.1433,0.0232
Low,Medium,Yes,0.1174,0.316,0.3316,0.1958,0.0392
Low,High,No,0.0031,0.0518,0.2045,0.4034,0.3372
Low,High,Yes,0.0011,0.0261,0.1401,0.37,0.4627
Medium,Low,No,0.2764,0.3648,0.2456,0.0997,0.0135
Medium,Low,Yes,0.1865,0.3526,0.2944,0.1433,0.0232
Medium,Medium,No,0.1174,0.316,0.3316,0.1958,0.0392
Medium,Medium,Yes,0.0686,0.2622,0.3501,0.2549,0.0642
Medium,High,No,0.0011,0.0263,0.1401,0.37,0.4625
Medium,High,Yes,0.0003,0.0114,0.0836,0.3006,0.6041
High,Low,No,0.1865,0.3526,0.2944,0.1433,0.0232
High,Low,Yes,0.1174,0.316,0.3316,0.1958,0.0392
High,Medium,No,0.0686,0.2622,0.3501,0.2549,0.0642
High,Medium,Yes,0.0368,0.2009,0.3453,0.3147,0.1023
High,High,No,0.0003,0.0114,0.0836,0.3006,0.6041
High,High,Yes,0.0001,0.0041,0.0414,0.2067,0.7477
