Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9442,0.0558,0,0,0
0-20%,Significant,0.6558,0.3442,0,0,0
21-40%,Minor,0.2299,0.7679,0.0021,0,0
21-40%,Significant,0.0517,0.9187,0.0296,0,0
41-60%,Minor,0.0005,0.4905,0.5067,0.0023,0
41-60%,Significant,0.0001,0.2432,0.7343,0.0225,0
61-80%,Minor,0,0.0276,0.6161,0.3549,0.0015
61-80%,Significant,0,0.0115,0.4103,0.5626,0.0155
81-100%,Minor,0.0001,0.0089,0.0939,0.3739,0.5232
81-100%,Significant,0.0065,0.034,0.086,0.186,0.6874
