Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.0583,0.4039,0.4223,0.1121,0.0034
Low,Low,Yes,0.044,0.3568,0.4452,0.1478,0.0062
Low,Medium,No,0.0253,0.2677,0.4582,0.2306,0.0182
Low,Medium,Yes,0.0193,0.2281,0.4493,0.2743,0.029
Low,High,No,0.0058,0.094,0.3101,0.4231,0.167
Low,High,Yes,0.0047,0.0783,0.2756,0.4269,0.2145
Medium,Low,No,0.044,0.3568,0.4452,0.1478,0.0062
Medium,Low,Yes,0.0333,0.3109,0.4571,0.1878,0.0109
Medium,Medium,No,0.0193,0.2281,0.4493,0.2743,0.029
Medium,Medium,Yes,0.0148,0.1929,0.4317,0.3162,0.0444
Medium,High,No,0.0047,0.0783,0.2756,0.4269,0.2145
Medium,High,Yes,0.004,0.0653,0.2422,0.4208,0.2677
High,Low,No,0.0333,0.3109,0.4571,0.1878,0.0109
High,Low,Yes,0.0253,0.2677,0.4582,0.2306,0.0182
High,Medium,No,0.0148,0.1929,0.4317,0.3162,0.0444
High,Medium,Yes,0.0115,0.162,0.4071,0.3542,0.0652
High,High,No,0.004,0.0653,0.2422,0.4208,0.2677
High,High,Yes,0.0034,0.0547,0.2108,0.4054,0.3257
