Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%,
0-20%,Minor,0.9849,0.0151,0,0,0,1
0-20%,Significant,0.9306,0.0693,0.0001,0,0,1
21-40%,Minor,0.445,0.5531,0.0019,0,0,1
21-40%,Significant,0.3332,0.66202,0.00478,0,0,1
41-60%,Minor,0.09,0.52,0.3883,0.0017,0,1
41-60%,Significant,0.0001,0.2073,0.7604,0.0322,0,1
61-80%,Minor,0.05,0.1328,0.5005,0.3158,0.0009,1
61-80%,Significant,0.001,0.0294,0.3953,0.5543,0.02,1
81-100%,Minor,0.0007,0.0067,0.0971,0.4242,0.4713,1
81-100%,Significant,0.0001,0.0033,0.0864,0.2982,0.612,1
