Suspended sediment,Sediment deposition,Contaminant release,0-20%,21-40%,41-60%,61-80%,81-100%
Low,Low,No,0.9018,0.0672,0.0213,0.009,0.0007
Low,Low,Yes,0.8145,0.1212,0.0516,0.0118,0.0009
Low,Medium,No,0.2617,0.3362,0.2508,0.126,0.0253
Low,Medium,Yes,0.2346,0.332,0.2632,0.1401,0.0301
Low,High,No,0.0032,0.034,0.1196,0.2819,0.5613
Low,High,Yes,0.0024,0.0279,0.1045,0.2632,0.602
Medium,Low,No,0.836,0.1048,0.0428,0.0152,0.0012
Medium,Low,Yes,0.7968,0.1275,0.0549,0.0192,0.0016
Medium,Medium,No,0.2092,0.3256,0.2745,0.1549,0.0358
Medium,Medium,Yes,0.1859,0.3173,0.2843,0.1702,0.0423
Medium,High,No,0.0018,0.0226,0.0901,0.2426,0.6429
Medium,High,Yes,0.0013,0.018,0.0766,0.2204,0.6837
High,Low,No,0.7668,0.1297,0.0716,0.029,0.0029
High,Low,Yes,0.6969,0.1484,0.116,0.035,0.0037
High,Medium,No,0.1445,0.2957,0.2995,0.2018,0.0585
High,Medium,Yes,0.1265,0.2828,0.3047,0.2178,0.0682
High,High,No,0.0007,0.0108,0.0523,0.1724,0.7638
High,High,Yes,0.0005,0.0081,0.0418,0.1474,0.8022
