Change t2,Sediment changes,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,Minor,0.9192,0.0808,0,0,0
0-20%,Significant,0.6555,0.344,0.0005,0,0
21-40%,Minor,0.2902,0.6985,0.0113,0,0
21-40%,Significant,0.0977,0.8328,0.0695,0,0
41-60%,Minor,0.0039,0.4577,0.523,0.0154,0
41-60%,Significant,0.001,0.2557,0.6742,0.0691,0
61-80%,Minor,0.0001,0.0473,0.508,0.4308,0.0138
61-80%,Significant,0,0.0242,0.3475,0.5657,0.0626
81-100%,Minor,0.0006,0.0155,0.0886,0.2817,0.6136
81-100%,Significant,0.0084,0.0316,0.0686,0.1409,0.7505
