Sediment_deposition,Mining_intensity,Nodule_removal,Depth_extraction,Low,Significant
<1cm ,50%,No,1-10cm,0.9695,0.0305
<1cm ,50%,No,11-30cm,0.967,0.033
<1cm ,50%,No,>30cm,0.9581,0.0419
<1cm ,50%,Yes,1-10cm,0.8327,0.1673
<1cm ,50%,Yes,11-30cm,0.7696,0.2304
<1cm ,50%,Yes,>30cm,0.5535,0.4466
<1cm ,75%,No,1-10cm,0.9706,0.0294
<1cm ,75%,No,11-30cm,0.9697,0.0303
<1cm ,75%,No,>30cm,0.9611,0.0389
<1cm ,75%,Yes,1-10cm,0.7175,0.2825
<1cm ,75%,Yes,11-30cm,0.6243,0.3757
<1cm ,75%,Yes,>30cm,0.3614,0.6387
<1cm ,100%,No,1-10cm,0.9611,0.0389
<1cm ,100%,No,11-30cm,0.951,0.049
<1cm ,100%,No,>30cm,0.9027,0.0973
<1cm ,100%,Yes,1-10cm,0.3614,0.6387
<1cm ,100%,Yes,11-30cm,0.2513,0.7487
<1cm ,100%,Yes,>30cm,0.0712,0.9288
2-5cm,50%,No,1-10cm,0.9695,0.0305
2-5cm,50%,No,11-30cm,0.9655,0.0345
2-5cm,50%,No,>30cm,0.9414,0.0586
2-5cm,50%,Yes,1-10cm,0.5535,0.4466
2-5cm,50%,Yes,11-30cm,0.439,0.561
2-5cm,50%,Yes,>30cm,0.1869,0.8131
2-5cm,75%,No,1-10cm,0.9611,0.0389
2-5cm,75%,No,11-30cm,0.951,0.049
2-5cm,75%,No,>30cm,0.9027,0.0973
2-5cm,75%,Yes,1-10cm,0.3614,0.6387
2-5cm,75%,Yes,11-30cm,0.2513,0.7487
2-5cm,75%,Yes,>30cm,0.0712,0.9288
2-5cm,100%,No,1-10cm,0.9027,0.0973
2-5cm,100%,No,11-30cm,0.8654,0.1346
2-5cm,100%,No,>30cm,0.7175,0.2825
2-5cm,100%,Yes,1-10cm,0.0712,0.9288
2-5cm,100%,Yes,11-30cm,0.0334,0.9666
2-5cm,100%,Yes,>30cm,0.003,0.997
10-25cm,50%,No,1-10cm,0.9414,0.0586
10-25cm,50%,No,11-30cm,0.9212,0.0788
10-25cm,50%,No,>30cm,0.8327,0.1673
10-25cm,50%,Yes,1-10cm,0.1869,0.8131
10-25cm,50%,Yes,11-30cm,0.1092,0.8908
10-25cm,50%,Yes,>30cm,0.0185,0.9815
10-25cm,75%,No,1-10cm,0.9027,0.0973
10-25cm,75%,No,11-30cm,0.8654,0.1346
10-25cm,75%,No,>30cm,0.7175,0.2825
10-25cm,75%,Yes,1-10cm,0.0712,0.9288
10-25cm,75%,Yes,11-30cm,0.0334,0.9666
10-25cm,75%,Yes,>30cm,0.003,0.997
10-25cm,100%,No,1-10cm,0.7175,0.2825
10-25cm,100%,No,11-30cm,0.6243,0.3757
10-25cm,100%,No,>30cm,0.3614,0.6387
10-25cm,100%,Yes,1-10cm,0.003,0.997
10-25cm,100%,Yes,11-30cm,0.0008,0.9992
10-25cm,100%,Yes,>30cm,0,1
