Distance_mining_site,Sediment_type,Plume_release,Suspended_sediment,<1cm,2..5cm,10..25cm,,
Inside block,Fine,At the seafloor,<10 mgL,0.7,0.2,0.1,1,
Inside block,Fine,At the seafloor,11-50 mgL,0.6,0.25,0.15,1,
Inside block,Fine,At the seafloor,50-100 mgL,0.2,0.5,0.3,1,
Inside block,Fine,10 m from seafloor,<10 mgL,0.65,0.25,0.1,1,
Inside block,Fine,10 m from seafloor,11-50 mgL,0.5,0.3,0.2,1,
Inside block,Fine,10 m from seafloor,50-100 mgL,0.2,0.45,0.35,1,
Inside block,Fine-coarse mix,At the seafloor,<10 mgL,0.75,0.2,0.05,1,
Inside block,Fine-coarse mix,At the seafloor,11-50 mgL,0.35,0.45,0.2,1,
Inside block,Fine-coarse mix,At the seafloor,50-100 mgL,0.2,0.5,0.3,1,
Inside block,Fine-coarse mix,10 m from seafloor,<10 mgL,0.75,0.2,0.05,1,
Inside block,Fine-coarse mix,10 m from seafloor,11-50 mgL,0.43,0.33,0.24,1,
Inside block,Fine-coarse mix,10 m from seafloor,50-100 mgL,0.33,0.38,0.29,1,
Inside block,Coarse,At the seafloor,<10 mgL,0.1,0.15,0.75,1,All sediment wil be deposited inside block for coarse material
Inside block,Coarse,At the seafloor,11-50 mgL,0.1,0.1,0.8,1,"DELTARES modelling:”Within the mining area there will be deposition of sand 
to a depth of at least 10 to 30 cm.”"
Inside block,Coarse,At the seafloor,50-100 mgL,0.01,0.09,0.9,1,
Inside block,Coarse,10 m from seafloor,<10 mgL,0.1,0.15,0.75,1,
Inside block,Coarse,10 m from seafloor,11-50 mgL,0.1,0.1,0.8,1,
Inside block,Coarse,10 m from seafloor,50-100 mgL,0.01,0.09,0.9,1,
Nearfield,Fine,At the seafloor,<10 mgL,0.7,0.2,0.1,,
Nearfield,Fine,At the seafloor,11-50 mgL,0.6,0.25,0.15,,
Nearfield,Fine,At the seafloor,50-100 mgL,0.2,0.5,0.3,,
Nearfield,Fine,10 m from seafloor,<10 mgL,0.65,0.25,0.1,,
Nearfield,Fine,10 m from seafloor,11-50 mgL,0.5,0.3,0.2,,
Nearfield,Fine,10 m from seafloor,50-100 mgL,0.2,0.45,0.35,,
Nearfield,Fine-coarse mix,At the seafloor,<10 mgL,0.75,0.2,0.05,,
Nearfield,Fine-coarse mix,At the seafloor,11-50 mgL,0.45,0.35,0.2,,
Nearfield,Fine-coarse mix,At the seafloor,50-100 mgL,0.3,0.4,0.3,,
Nearfield,Fine-coarse mix,10 m from seafloor,<10 mgL,0.75,0.2,0.05,,
Nearfield,Fine-coarse mix,10 m from seafloor,11-50 mgL,0.43,0.33,0.24,,
Nearfield,Fine-coarse mix,10 m from seafloor,50-100 mgL,0.38,0.33,0.29,,
Nearfield,Coarse,At the seafloor,<10 mgL,0.95,0.05,0,1,
Nearfield,Coarse,At the seafloor,11-50 mgL,0.95,0.05,0,1,
Nearfield,Coarse,At the seafloor,50-100 mgL,0.95,0.05,0,1,
Nearfield,Coarse,10 m from seafloor,<10 mgL,0.95,0.05,0,1,
Nearfield,Coarse,10 m from seafloor,11-50 mgL,0.95,0.05,0,1,
Nearfield,Coarse,10 m from seafloor,50-100 mgL,0.95,0.05,0,1,
Outside block,Fine,At the seafloor,<10 mgL,0.85,0.15,0,,
Outside block,Fine,At the seafloor,11-50 mgL,0.2,0.6,0.2,,
Outside block,Fine,At the seafloor,50-100 mgL,0.05,0.25,0.7,,
Outside block,Fine,10 m from seafloor,<10 mgL,0.85,0.15,0,,
Outside block,Fine,10 m from seafloor,11-50 mgL,0.2,0.6,0.2,,
Outside block,Fine,10 m from seafloor,50-100 mgL,0.1,0.17,0.73,,
Outside block,Fine-coarse mix,At the seafloor,<10 mgL,0.8,0.2,0,,
Outside block,Fine-coarse mix,At the seafloor,11-50 mgL,0.2,0.65,0.15,,
Outside block,Fine-coarse mix,At the seafloor,50-100 mgL,0.05,0.2,0.75,,
Outside block,Fine-coarse mix,10 m from seafloor,<10 mgL,0.8,0.2,0,,
Outside block,Fine-coarse mix,10 m from seafloor,11-50 mgL,0.2,0.65,0.15,,
Outside block,Fine-coarse mix,10 m from seafloor,50-100 mgL,0.15,0.15,0.7,,
Outside block,Coarse,At the seafloor,<10 mgL,0.99,0.01,0,1,
Outside block,Coarse,At the seafloor,11-50 mgL,0.97,0.03,0,1,
Outside block,Coarse,At the seafloor,50-100 mgL,0.97,0.03,0,1,
Outside block,Coarse,10 m from seafloor,<10 mgL,0.99,0.01,0,1,
Outside block,Coarse,10 m from seafloor,11-50 mgL,0.97,0.03,0,1,
Outside block,Coarse,10 m from seafloor,50-100 mgL,0.97,0.03,0,1,
