Distance_mining_site,Sediment_type,Plume_release,Volume_extraction,<10.mgL,11..50.mgL,50..100.mgL
Inside block,Fine,At the seafloor,Low,0.8,0.2,0
Inside block,Fine,At the seafloor,Moderate,0.4,0.48,0.12
Inside block,Fine,At the seafloor,High,0.1,0.68,0.22
Inside block,Fine,10 m from seafloor,Low,0.85,0.15,0
Inside block,Fine,10 m from seafloor,Moderate,0.5,0.43,0.07
Inside block,Fine,10 m from seafloor,High,0.2,0.65,0.15
Inside block,Fine-coarse mix,At the seafloor,Low,0.9,0.1,0
Inside block,Fine-coarse mix,At the seafloor,Moderate,0.53,0.4,0.07
Inside block,Fine-coarse mix,At the seafloor,High,0.3,0.6,0.1
Inside block,Fine-coarse mix,10 m from seafloor,Low,0.93,0.07,0
Inside block,Fine-coarse mix,10 m from seafloor,Moderate,0.58,0.35,0.07
Inside block,Fine-coarse mix,10 m from seafloor,High,0.4,0.5,0.1
Inside block,Coarse,At the seafloor,Low,1,0,0
Inside block,Coarse,At the seafloor,Moderate,0.98,0.02,0
Inside block,Coarse,At the seafloor,High,0.97,0.03,0
Inside block,Coarse,10 m from seafloor,Low,1,0,0
Inside block,Coarse,10 m from seafloor,Moderate,0.98,0.02,0
Inside block,Coarse,10 m from seafloor,High,0.97,0.03,0
Nearfield,Fine,At the seafloor,Low,0.8,0.2,0
Nearfield,Fine,At the seafloor,Moderate,0.4,0.5,0.1
Nearfield,Fine,At the seafloor,High,0.1,0.7,0.2
Nearfield,Fine,10 m from seafloor,Low,0.85,0.15,0
Nearfield,Fine,10 m from seafloor,Moderate,0.5,0.45,0.05
Nearfield,Fine,10 m from seafloor,High,0.2,0.65,0.15
Nearfield,Fine-coarse mix,At the seafloor,Low,0.9,0.1,0
Nearfield,Fine-coarse mix,At the seafloor,Moderate,0.55,0.4,0.05
Nearfield,Fine-coarse mix,At the seafloor,High,0.3,0.6,0.1
Nearfield,Fine-coarse mix,10 m from seafloor,Low,0.95,0.05,0
Nearfield,Fine-coarse mix,10 m from seafloor,Moderate,0.6,0.35,0.05
Nearfield,Fine-coarse mix,10 m from seafloor,High,0.4,0.5,0.1
Nearfield,Coarse,At the seafloor,Low,1,0,0
Nearfield,Coarse,At the seafloor,Moderate,1,0,0
Nearfield,Coarse,At the seafloor,High,1,0,0
Nearfield,Coarse,10 m from seafloor,Low,1,0,0
Nearfield,Coarse,10 m from seafloor,Moderate,1,0,0
Nearfield,Coarse,10 m from seafloor,High,1,0,0
Outside block,Fine,At the seafloor,Low,0.9,0.1,0
Outside block,Fine,At the seafloor,Moderate,0.7,0.3,0
Outside block,Fine,At the seafloor,High,0.4,0.6,0
Outside block,Fine,10 m from seafloor,Low,0.9,0.1,0
Outside block,Fine,10 m from seafloor,Moderate,0.7,0.3,0
Outside block,Fine,10 m from seafloor,High,0.4,0.6,0
Outside block,Fine-coarse mix,At the seafloor,Low,1,0,0
Outside block,Fine-coarse mix,At the seafloor,Moderate,0.8,0.2,0
Outside block,Fine-coarse mix,At the seafloor,High,0.5,0.5,0
Outside block,Fine-coarse mix,10 m from seafloor,Low,1,0,0
Outside block,Fine-coarse mix,10 m from seafloor,Moderate,0.8,0.2,0
Outside block,Fine-coarse mix,10 m from seafloor,High,0.5,0.5,0
Outside block,Coarse,At the seafloor,Low,1,0,0
Outside block,Coarse,At the seafloor,Moderate,1,0,0
Outside block,Coarse,At the seafloor,High,1,0,0
Outside block,Coarse,10 m from seafloor,Low,1,0,0
Outside block,Coarse,10 m from seafloor,Moderate,1,0,0
Outside block,Coarse,10 m from seafloor,High,1,0,0
