dirM,indirM,0-20%,21-40%,41-60%,61-80%,81-100%
0-20%,0-20%,0.52892562,0.47107438,0,0,0
0-20%,21-40%,0,0.786363636,0.213636364,0,0
0-20%,41-60%,0,0,0.909090909,0.090909091,0
0-20%,61-80%,0,0,0,0.918181818,0.081818182
0-20%,81-100%,0,0,0,0,1
21-40%,0-20%,0,0.698717949,0.301282051,0,0
21-40%,21-40%,0,0.147651007,0.852348993,0,0
21-40%,41-60%,0,0,0.729032258,0.270967742,0
21-40%,61-80%,0,0,0,0.71,0.29
21-40%,81-100%,0,0,0,0,1
41-60%,0-20%,0,0,0.909090909,0.090909091,0
41-60%,21-40%,0,0,0.773700306,0.226299694,0
41-60%,41-60%,0,0,0.413114754,0.555737705,0.031147541
41-60%,61-80%,0,0,0,0.186666667,0.813333333
41-60%,81-100%,0,0,0,0,1
61-80%,0-20%,0,0,0,0.918181818,0.081818182
61-80%,21-40%,0,0,0,0.71,0.29
61-80%,41-60%,0,0,0,0.170471842,0.829528158
61-80%,61-80%,0,0,0,0,1
61-80%,81-100%,0,0,0,0,1
81-100%,0-20%,0,0,0,0,1
81-100%,21-40%,0,0,0,0,1
81-100%,41-60%,0,0,0,0,1
81-100%,61-80%,0,0,0,0,1
81-100%,81-100%,0,0,0,0,1
