From,To
Distance_mining_site,Mined
Mined,Nodule_removal
Mining_intensity,Volume_extraction
Distance_mining_site,Suspended_sediment
Depth_extraction,Volume_extraction
Sediment_type,Suspended_sediment
Plume_release,Suspended_sediment
Volume_extraction,Suspended_sediment
Suspended_sediment,Sediment_deposition
Plume_release,Sediment_deposition
Sediment_type,Sediment_deposition
Distance_mining_site,Sediment_deposition
Distance_mining_site,Contaminant_release
Sediment_type,Contaminant_release
Sediment_contaminants,Contaminant_release
Volume_extraction,Contaminant_release
Nodule_removal,Sediment_changes
Sediment_deposition,Sediment_changes
Depth_extraction,Sediment_changes
Mining_intensity,Sediment_changes
Sediment_deposition,SSI_indir
Contaminant_release,SSI_indir
Suspended_sediment,SSI_indir
Mined,SSI_dir
Mining_intensity,SSI_dir
SSI_dir,SSI_t2
SSI_indir,SSI_t2
Sediment_changes,SSI_t3
SSI_t2,SSI_t3
Sediment_deposition,SMI_indir
Contaminant_release,SMI_indir
Suspended_sediment,SMI_indir
Mined,SMI_dir
Mining_intensity,SMI_dir
SMI_dir,SMI_t2
SMI_indir,SMI_t2
Sediment_changes,SMI_t3
SMI_t2,SMI_t3
Sediment_deposition,SSBM_indir
Contaminant_release,SSBM_indir
Suspended_sediment,SSBM_indir
Mined,SSBM_dir
Mining_intensity,SSBM_dir
SSBM_dir,SSBM_t2
SSBM_indir,SSBM_t2
Sediment_changes,SSBM_t3
SSBM_t2,SSBM_t3
Sediment_deposition,GH_indir
Contaminant_release,GH_indir
Suspended_sediment,GH_indir
Mined,GH_dir
Mining_intensity,GH_dir
GH_dir,GH_t2
GH_indir,GH_t2
Sediment_changes,GH_t3
GH_t2,GH_t3
Sediment_deposition,LMM_indir
Contaminant_release,LMM_indir
Suspended_sediment,LMM_indir
Mined,LMM_dir
Mining_intensity,LMM_dir
LMM_dir,LMM_t2
LMM_indir,LMM_t2
Sediment_changes,LMM_t3
LMM_t2,LMM_t3
Sediment_deposition,SESF_indir
Contaminant_release,SESF_indir
Suspended_sediment,SESF_indir
Mined,SESF_dir
Mining_intensity,SESF_dir
SESF_dir,SESF_t2
SESF_indir,SESF_t2
Sediment_changes,SESF_t3
SESF_t2,SESF_t3
Sediment_deposition,SM_indir
Contaminant_release,SM_indir
Suspended_sediment,SM_indir
Mined,SM_dir
Mining_intensity,SM_dir
SM_dir,SM_t2
SM_indir,SM_t2
Sediment_changes,SM_t3
SM_t2,SM_t3
Sediment_deposition,DM_indir
Contaminant_release,DM_indir
Suspended_sediment,DM_indir
Mined,DM_dir
Mining_intensity,DM_dir
DM_dir,DM_t2
DM_indir,DM_t2
Sediment_changes,DM_t3
DM_t2,DM_t3
Sediment_deposition,LSI_indir
Contaminant_release,LSI_indir
Suspended_sediment,LSI_indir
Mined,LSI_dir
Mining_intensity,LSI_dir
LSI_dir,LSI_t2
LSI_indir,LSI_t2
Sediment_changes,LSI_t3
LSI_t2,LSI_t3
Sediment_deposition,MPE_indir
Contaminant_release,MPE_indir
Suspended_sediment,MPE_indir
Mined,MPE_dir
Mining_intensity,MPE_dir
MPE_dir,MPE_t2
MPE_indir,MPE_t2
Sediment_changes,MPE_t3
MPE_t2,MPE_t3
Sediment_deposition,MGE_indir
Contaminant_release,MGE_indir
Suspended_sediment,MGE_indir
Mined,MGE_dir
Mining_intensity,MGE_dir
MGE_dir,MGE_t2
MGE_indir,MGE_t2
Sediment_changes,MGE_t3
MGE_t2,MGE_t3
Sediment_deposition,PH_indir
Contaminant_release,PH_indir
Suspended_sediment,PH_indir
Mined,PH_dir
Mining_intensity,PH_dir
PH_dir,PH_t2
PH_indir,PH_t2
Sediment_changes,PH_t3
PH_t2,PH_t3
Sediment_deposition,SCSF_indir
Contaminant_release,SCSF_indir
Suspended_sediment,SCSF_indir
Mined,SCSF_dir
Mining_intensity,SCSF_dir
SCSF_dir,SCSF_t2
SCSF_indir,SCSF_t2
Sediment_changes,SCSF_t3
SCSF_t2,SCSF_t3
Sediment_deposition,SCFF_indir
Contaminant_release,SCFF_indir
Suspended_sediment,SCFF_indir
Mined,SCFF_dir
Mining_intensity,SCFF_dir
SCFF_dir,SCFF_t2
SCFF_indir,SCFF_t2
Sediment_changes,SCFF_t3
SCFF_t2,SCFF_t3
Sediment_deposition,SEFF_indir
Contaminant_release,SEFF_indir
Suspended_sediment,SEFF_indir
Mined,SEFF_dir
Mining_intensity,SEFF_dir
SEFF_dir,SEFF_t2
SEFF_indir,SEFF_t2
Sediment_changes,SEFF_t3
SEFF_t2,SEFF_t3
