Mined,No,Yes,,,
Nodule_removal,No,Yes,,,
Sediment_type,Fine,Fine-coarse mix,Coarse,,
Sediment_contaminants,Low,Medium,High,,
Depth_extraction,1-10cm,11-30cm,>30cm,,
Plume_release,At the seafloor,10 m from seafloor,,,
Distance_mining_site,Inside block,Nearfield,Outside block,,
Mining_intensity,50%,75%,100%,,
Volume_extraction,Low,Moderate,High,,
Suspended_sediment,<10 mgL,11-50 mgL,50-100 mgL,,
Contaminant_release,Low,Significant,,,
Sediment_deposition,<1cm,2-5cm,10-25cm,,
Sediment_changes,Minor,Significant,,,
SSI_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SSI_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SSI_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SSI_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SMI_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SMI_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SMI_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SMI_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SSBM_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SSBM_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SSBM_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SSBM_t3,0-20%,21-40%,41-60%,61-80%,81-100%
LMM_dir,0-20%,21-40%,41-60%,61-80%,81-100%
LMM_indir,0-20%,21-40%,41-60%,61-80%,81-100%
LMM_t2,0-20%,21-40%,41-60%,61-80%,81-100%
LMM_t3,0-20%,21-40%,41-60%,61-80%,81-100%
GH_dir,0-20%,21-40%,41-60%,61-80%,81-100%
GH_indir,0-20%,21-40%,41-60%,61-80%,81-100%
GH_t2,0-20%,21-40%,41-60%,61-80%,81-100%
GH_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SESF_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SESF_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SESF_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SESF_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SM_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SM_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SM_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SM_t3,0-20%,21-40%,41-60%,61-80%,81-100%
DM_dir,0-20%,21-40%,41-60%,61-80%,81-100%
DM_indir,0-20%,21-40%,41-60%,61-80%,81-100%
DM_t2,0-20%,21-40%,41-60%,61-80%,81-100%
DM_t3,0-20%,21-40%,41-60%,61-80%,81-100%
MPE_dir,0-20%,21-40%,41-60%,61-80%,81-100%
MPE_indir,0-20%,21-40%,41-60%,61-80%,81-100%
MPE_t2,0-20%,21-40%,41-60%,61-80%,81-100%
MPE_t3,0-20%,21-40%,41-60%,61-80%,81-100%
LSI_dir,0-20%,21-40%,41-60%,61-80%,81-100%
LSI_indir,0-20%,21-40%,41-60%,61-80%,81-100%
LSI_t2,0-20%,21-40%,41-60%,61-80%,81-100%
LSI_t3,0-20%,21-40%,41-60%,61-80%,81-100%
PH_dir,0-20%,21-40%,41-60%,61-80%,81-100%
PH_indir,0-20%,21-40%,41-60%,61-80%,81-100%
PH_t2,0-20%,21-40%,41-60%,61-80%,81-100%
PH_t3,0-20%,21-40%,41-60%,61-80%,81-100%
MGE_dir,0-20%,21-40%,41-60%,61-80%,81-100%
MGE_indir,0-20%,21-40%,41-60%,61-80%,81-100%
MGE_t2,0-20%,21-40%,41-60%,61-80%,81-100%
MGE_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SCSF_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SCSF_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SCSF_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SCSF_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SEFF_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SEFF_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SEFF_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SEFF_t3,0-20%,21-40%,41-60%,61-80%,81-100%
SCFF_dir,0-20%,21-40%,41-60%,61-80%,81-100%
SCFF_indir,0-20%,21-40%,41-60%,61-80%,81-100%
SCFF_t2,0-20%,21-40%,41-60%,61-80%,81-100%
SCFF_t3,0-20%,21-40%,41-60%,61-80%,81-100%
